figure_file	public_repository_path	source_script	source_code_section	original_output_path	file_format	file_size	sha256	figure_status	manuscript_mapping	mapping_confidence	notes
mouse1_umis.jpeg	figures/generated/feature_plots/mouse1_umis.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Spatial QC plot	Withheld institutional output directory	JPEG	840204	d6fd10b3e9484339b9d1f18716de812df9034706e0f0f93d1144f3d59cb597cb	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse2_umis.jpeg	figures/generated/feature_plots/mouse2_umis.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Spatial QC plot	Withheld institutional output directory	JPEG	723160	cd5f1d138b5245fe3de6f84048559b8a6a0ed8e97802cb0b55d85b60dcdc1038	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse4_umis.jpeg	figures/generated/feature_plots/mouse4_umis.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Spatial QC plot	Withheld institutional output directory	JPEG	799912	4ebec5726aaed030ca4d3218fdad3e46571f6a801241bee19d1671fa9603fe70	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse5_umis.jpeg	figures/generated/feature_plots/mouse5_umis.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Spatial QC plot	Withheld institutional output directory	JPEG	805060	1c51c273191c381cece1f4c6317255332c07bb317ec45d9d62b8ad2a44b235df	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse1_Tnf.jpeg	figures/generated/feature_plots/mouse1_Tnf.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	466890	3b27cc13de9166179e0bb19a1ab2fda1e636bb83ef72b087a7a59e94e802587a	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse1_Ifng.jpeg	figures/generated/feature_plots/mouse1_Ifng.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	457271	6b63b2b98401d1c36c23ee94fe1cf460528d25ed37074b7c9449679630d2810a	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse1_Il6.jpeg	figures/generated/feature_plots/mouse1_Il6.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	469687	75b0a2388a3df3e48a43f3775c959fbb63943fbc8f53272690566a8280e32724	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse1_Ifnb1.jpeg	figures/generated/feature_plots/mouse1_Ifnb1.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	462368	216964ac6505bee1f376671a0e17953c80a72cd6df07b57416156556f2915345	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse1_Cxcl1.jpeg	figures/generated/feature_plots/mouse1_Cxcl1.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	500389	7f8bb0641c63d09a3dd9643d36e178443f53c322170dafeb14043f5bd5d8e183	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse1_Il10.jpeg	figures/generated/feature_plots/mouse1_Il10.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	464717	b559371cd9c376f6e2f8d96edac71f9bbe34c9e03a461848dfbec2754f583f70	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse1_Il1b.jpeg	figures/generated/feature_plots/mouse1_Il1b.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	647932	23234026b2b86c248a381b0093610bf3421e3eaea640bc16083bc649eed41737	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse2_Tnf.jpeg	figures/generated/feature_plots/mouse2_Tnf.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	428730	adb13892a310357478627ad0f8eeb60d3974c434c5959649cb8aaec80db524de	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse2_Ifng.jpeg	figures/generated/feature_plots/mouse2_Ifng.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	414762	53b794009e9952302039e5e785387c17d1bc857a6009560a6033f263b6883d80	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse2_Il6.jpeg	figures/generated/feature_plots/mouse2_Il6.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	430576	762c911f5dcf7cf2d938c020ac9be5525884c4ab1275c204b0f3c321f2036eb0	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse2_Ifnb1.jpeg	figures/generated/feature_plots/mouse2_Ifnb1.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	420120	1a74cbfb50a11cd5e916f543afdb7b4aa39136626a172b6beb3846f1b9122086	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse2_Cxcl1.jpeg	figures/generated/feature_plots/mouse2_Cxcl1.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	464475	753b62db89fb86c114a9ea9c7e748692ca2d18e38bc237b76b342ecdc3f5aea9	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse2_Il10.jpeg	figures/generated/feature_plots/mouse2_Il10.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	424830	1bf2daccdd08e0dc97bedd475cfe552b0bba301991696276a24a1dd9bdefa369	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse2_Il1b.jpeg	figures/generated/feature_plots/mouse2_Il1b.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	598068	e7d3b0c25a749e1e0eb5e03fba39192f2bdd880de869f0f7faa4ab14434e3bf7	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse4_Tnf.jpeg	figures/generated/feature_plots/mouse4_Tnf.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	456439	530e43d2896600e4144f5079d86ce81cbe48fe26d5be638e257872a8973fb83d	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse4_Ifng.jpeg	figures/generated/feature_plots/mouse4_Ifng.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	456687	945da853aeb9302425cf9308c18adbb2417a64944350b03803f442cfa654a00a	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse4_Il6.jpeg	figures/generated/feature_plots/mouse4_Il6.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	453886	8b6e44f778fd827749871ef1293ac8d78417879add2239822bc362c155ea7d06	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse4_Cxcl1.jpeg	figures/generated/feature_plots/mouse4_Cxcl1.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	459330	72fd90f8b9e56ad37077d4a1b526f31b399af5768e1524895a473201bdfe1854	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse4_Il10.jpeg	figures/generated/feature_plots/mouse4_Il10.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	461336	34eff46be3959762e8dc8c22e7e503f6715d556f19862a5f3594ac3255dffe30	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse4_Il1b.jpeg	figures/generated/feature_plots/mouse4_Il1b.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	471017	7e0f02d31f10898ccc72435764641cb89960131288e3afbeae6abe7bdfe806c0	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse5_Tnf.jpeg	figures/generated/feature_plots/mouse5_Tnf.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	480578	280eddf7867e47529d4f99854a4a9f86f0d40473f0cb84ec1596e856a7deb4a6	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse5_Ifng.jpeg	figures/generated/feature_plots/mouse5_Ifng.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	482393	ce988ecc61c80cbcd759f48698a428dec80b6462e876dc520d68c65e00bf242c	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
mouse5_Il6.jpeg	figures/generated/feature_plots/mouse5_Il6.jpeg	scripts/02_feature_plots/FeaturePlots_Flu.R	Cytokine feature plot	Withheld institutional output directory	JPEG	479759	fedddfae9beb5ac6b8a69447ab8bab112128e2f91e599af39ca4d00f9029faee	Included	Unresolved	None	Recovered existing exact-named output; 1417x1417
